ticker,second_ts,yes_open,yes_high,yes_low,yes_close,contracts,trade_count,yes_vwap
KXBTC15M-26SEP051745-45,1788644467,0.37,0.38,0.37,0.37,1457.1,43,0.3717556790886007
KXBTC15M-26SEP051745-45,1788644468,0.37,0.38,0.36,0.36,2012.73,66,0.3711289144594655
KXBTC15M-26SEP051745-45,1788644469,0.36,0.37,0.35,0.35,1264.76,47,0.3597575824662387
KXBTC15M-26SEP051745-45,1788644470,0.35,0.36,0.35,0.35,1515.08,31,0.3504403727855954
KXBTC15M-26SEP051745-45,1788644471,0.35,0.36,0.34,0.34,1593.19,55,0.35183148274844805
KXBTC15M-26SEP051745-45,1788644472,0.34,0.35,0.34,0.34,737.97,23,0.3435952681003293
KXBTC15M-26SEP051745-45,1788644473,0.34,0.35,0.34,0.34,488.52,33,0.3426750184229919
KXBTC15M-26SEP051745-45,1788644474,0.34,0.35,0.32,0.32,2443.79,69,0.33911097107361926
KXBTC15M-26SEP051745-45,1788644475,0.32,0.34,0.32,0.32,1050.68,66,0.3309391061027144
KXBTC15M-26SEP051745-45,1788644476,0.33,0.33,0.32,0.32,661.06,27,0.32578056454784743
KXBTC15M-26SEP051745-45,1788644477,0.32,0.34,0.32,0.33,1221.45,72,0.32484743542510947
KXBTC15M-26SEP051745-45,1788644478,0.34,0.34,0.33,0.34,876.24,37,0.33217303478499044
KXBTC15M-26SEP051745-45,1788644479,0.33,0.34,0.31,0.32,1372.74,56,0.32391902326733396
KXBTC15M-26SEP051745-45,1788644480,0.32,0.33,0.31,0.31,2842.12,54,0.3204517754352385
KXBTC15M-26SEP051745-45,1788644481,0.31,0.33,0.31,0.32,1849.68,56,0.31943071233943165
KXBTC15M-26SEP051745-45,1788644482,0.31,0.32,0.3,0.31,3293.32,65,0.3109207425940996
KXBTC15M-26SEP051745-45,1788644483,0.32,0.55,0.31,0.52,3549.0099999999998,160,0.38714593647242473
KXBTC15M-26SEP051745-45,1788644484,0.51,0.69,0.5,0.63,17457.89,181,0.6189034184543494
KXBTC15M-26SEP051745-45,1788644485,0.66,0.67,0.64,0.66,4407.11,77,0.6537554542546022
KXBTC15M-26SEP051745-45,1788644486,0.66,0.66,0.63,0.65,6681.9,123,0.645542540295425
KXBTC15M-26SEP051745-45,1788644487,0.65,0.68,0.63,0.67,4326.81,101,0.6492416584042285
KXBTC15M-26SEP051745-45,1788644488,0.67,0.68,0.63,0.63,4748.15,99,0.6510541579351958
KXBTC15M-26SEP051745-45,1788644489,0.63,0.65,0.63,0.64,4778.07,89,0.6327339281341631
KXBTC15M-26SEP051745-45,1788644490,0.63,0.64,0.62,0.63,3036.44,69,0.6299315645953814
KXBTC15M-26SEP051745-45,1788644491,0.63,0.64,0.62,0.64,4450.89,72,0.6322206794596137
KXBTC15M-26SEP051745-45,1788644492,0.63,0.64,0.63,0.63,1940.85,46,0.6336099647061855
KXBTC15M-26SEP051745-45,1788644493,0.63,0.64,0.63,0.63,1929.34,51,0.6335888438533385
KXBTC15M-26SEP051745-45,1788644494,0.64,0.64,0.63,0.63,3756.94,77,0.6322149142653329
KXBTC15M-26SEP051745-45,1788644495,0.63,0.64,0.61,0.63,6944.9,80,0.6274069893015018
KXBTC15M-26SEP051745-45,1788644496,0.64,0.65,0.64,0.64,511.57,39,0.6411548761655296
KXBTC15M-26SEP051745-45,1788644497,0.64,0.74,0.64,0.73,6115.04,142,0.6654740279703812
KXBTC15M-26SEP051745-45,1788644498,0.73,0.74,0.73,0.73,1450.1100000000001,61,0.7330665259876836
KXBTC15M-26SEP051745-45,1788644499,0.74,0.83,0.71,0.79,17174.54,244,0.783737928352084
KXBTC15M-26SEP051745-45,1788644500,0.8,0.8,0.67,0.72,11268.32,199,0.7686115410282989
