ticker,signal_time,exit_time,volatility,trend,side,pnl,cost,exit
KXBTC15M-26SEP011715-15,2026-09-01T21:01:00.000Z,2026-09-01T21:04:00.000Z,low,BULLISH,yes,-0.6500000000000001,1.75,SCALP_TAKE_PROFIT
KXBTC15M-26SEP011915-15,2026-09-01T23:01:00.000Z,2026-09-01T23:06:00.000Z,low,BULLISH,yes,-0.30000000000000004,1,STOP_LOSS
KXBTC15M-26SEP011945-45,2026-09-01T23:31:00.000Z,2026-09-01T23:34:00.000Z,low,BULLISH,yes,0.71,1.5,SCALP_TAKE_PROFIT
KXBTC15M-26SEP012300-00,2026-09-02T02:46:00.000Z,2026-09-02T02:49:00.000Z,low,BULLISH,yes,0.3699999999999999,1.5,SCALP_TAKE_PROFIT
KXBTC15M-26SEP020100-00,2026-09-02T04:46:00.000Z,2026-09-02T04:56:00.000Z,low,BULLISH,yes,-1.5799999999999998,1.8599999999999999,STOP_LOSS
KXBTC15M-26SEP020115-15,2026-09-02T05:01:00.000Z,2026-09-02T05:05:00.000Z,low,BULLISH,yes,-0.3600000000000003,1.9400000000000002,SCALP_TAKE_PROFIT
KXBTC15M-26SEP020145-45,2026-09-02T05:31:00.000Z,2026-09-02T05:39:00.000Z,low,BULLISH,yes,-0.45,0.65,STOP_LOSS
KXBTC15M-26SEP020315-15,2026-09-02T07:02:00.000Z,2026-09-02T07:05:00.000Z,low,NEUTRAL,yes,-0.14000000000000035,1.8800000000000001,SCALP_TAKE_PROFIT
KXBTC15M-26SEP020345-45,2026-09-02T07:33:00.000Z,2026-09-02T07:39:00.000Z,low,NEUTRAL,yes,-0.03000000000000025,1.2600000000000002,SCALP_TAKE_PROFIT
KXBTC15M-26SEP020830-30,2026-09-02T12:16:00.000Z,2026-09-02T12:19:00.000Z,low,BULLISH,yes,0.22999999999999998,2.67,SCALP_TAKE_PROFIT
KXBTC15M-26SEP020845-45,2026-09-02T12:31:00.000Z,2026-09-02T12:35:00.000Z,medium,BULLISH,yes,-0.4700000000000001,0.8200000000000001,STOP_LOSS
KXBTC15M-26SEP021215-15,2026-09-02T16:01:00.000Z,2026-09-02T16:06:00.000Z,low,BULLISH,yes,-0.020000000000000018,0.74,SCALP_TAKE_PROFIT
KXBTC15M-26SEP021415-15,2026-09-02T18:01:00.000Z,2026-09-02T18:04:00.000Z,low,BULLISH,yes,0.16999999999999993,0.61,SCALP_TAKE_PROFIT
KXBTC15M-26SEP021445-45,2026-09-02T18:32:00.000Z,2026-09-02T18:36:00.000Z,low,BULLISH,yes,-0.4,1.02,STOP_LOSS
KXBTC15M-26SEP021530-30,2026-09-02T19:16:00.000Z,2026-09-02T19:19:00.000Z,low,BULLISH,yes,-0.63,0.98,STOP_LOSS
KXBTC15M-26SEP021645-45,2026-09-02T20:31:00.000Z,2026-09-02T20:34:00.000Z,medium,BULLISH,yes,-0.06000000000000005,1.06,SCALP_TAKE_PROFIT
KXBTC15M-26SEP021930-30,2026-09-02T23:17:00.000Z,2026-09-02T23:23:00.000Z,low,BULLISH,yes,-0.31,0.51,STOP_LOSS
KXBTC15M-26SEP030015-15,2026-09-03T04:01:00.000Z,2026-09-03T04:04:00.000Z,low,BEARISH,yes,0.3899999999999999,1.1,SCALP_TAKE_PROFIT
KXBTC15M-26SEP030115-15,2026-09-03T05:04:00.000Z,2026-09-03T05:11:00.000Z,low,BULLISH,yes,-0.53,0.92,STOP_LOSS
KXBTC15M-26SEP030245-45,2026-09-03T06:31:00.000Z,2026-09-03T06:35:00.000Z,low,NEUTRAL,yes,0.55,1.35,SCALP_TAKE_PROFIT
KXBTC15M-26SEP030745-45,2026-09-03T11:34:00.000Z,2026-09-03T11:41:00.000Z,low,BULLISH,yes,0.1399999999999999,1.1400000000000001,SCALP_TAKE_PROFIT
